Rank,Player,Profile_Link,Stat,Image_URL
1,General Leather 21935,https://www.hasbrorisk.com/en/player/4ABV89GG,"34,510",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_22-MYSTERY.png
2,JaviMill,https://www.hasbrorisk.com/en/player/MA30QSQQ,"32,964",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_1-M-FR.png
3,Pythagoras,https://www.hasbrorisk.com/en/player/NZME7UZZ,"32,627",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_2-M-DE.png
4,Asbury Krishnan,https://www.hasbrorisk.com/en/player/VF9T6PDD,"32,482",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_2-M-DE.png
5,michael.kolesnyk,https://www.hasbrorisk.com/en/player/MQSDAE88,"32,014",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_22-MYSTERY.png
6,maxence.l2005,https://www.hasbrorisk.com/en/player/HVX2DF99,"31,911",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_1-M-FR.png
7,General Gonzalez 19853,https://www.hasbrorisk.com/en/player/E2K5J3QQ,"31,843",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_7-F-RU.png
8,Jim Jones,https://www.hasbrorisk.com/en/player/N390BCZZ,"31,053",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_22-MYSTERY.png
9,General Sakurai 24278,https://www.hasbrorisk.com/en/player/38ZD8WYY,"30,806",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_23-NAPOLEONBOT.png
10,JLee,https://www.hasbrorisk.com/en/player/MBVT0W88,"30,764",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_22-MYSTERY.png
11,Dozier The Saint 2,https://www.hasbrorisk.com/en/player/91M5UEPP,"30,751",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_31-M-WIZ.png
12,Ryuushin,https://www.hasbrorisk.com/en/player/34VXF9YY,"30,588",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_9-F-JP.png
13,pennypacker,https://www.hasbrorisk.com/en/player/NDKENYZZ,"30,551",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_3-M-GB.png
14,General Kota 18339,https://www.hasbrorisk.com/en/player/RHT3H0BB,"30,515",https://api-avatars.production.hasbrorisk.com/avatar/AVATAR_4-M-US.png
